,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,clusters,cluster
1528,I Am Georgina,SHOW,2022,TV-14,41,['reality'],Spain,1,tt15494864,3.9,2729,0,light pink
1529,Angry Birds: Summer Madness,SHOW,2022,TV-Y7,14,"['action', 'comedy', 'family', 'fantasy', 'animation']",United States of America (the),1,tt12027896,6.3,436,0,light pink
1530,The Lost Pirate Kingdom,SHOW,2021,TV-MA,43,"['documentation', 'drama', 'history']",United States of America (the),1,tt14057360,6.6,2702,0,light pink
1531,Sky Rojo,SHOW,2021,TV-MA,27,"['action', 'crime', 'drama', 'thriller']",Spain,3,tt8690776,6.5,8569,0,light pink
1532,Johnny Hallyday: Beyond Rock,SHOW,2022,TV-14,35,"['documentation', 'music']",United States of America (the),1,tt18274456,7,94,0,light pink
1533,Chicago Party Aunt,SHOW,2021,TV-MA,23,"['comedy', 'animation']",United States of America (the),1,tt15125616,5.3,1383,0,light pink
1534,Money Heist: From Tokyo to Berlin,SHOW,2021,TV-MA,53,"['documentation', 'crime', 'drama']",Spain,2,tt15384346,7.7,836,0,light pink
1535,Queer Eye Germany,SHOW,2022,TV-14,50,['reality'],Germany,1,tt16369694,7.5,788,0,light pink
1536,Naomi Osaka,SHOW,2021,TV-14,37,"['documentation', 'sport']",United States of America (the),1,tt11898920,6.2,1287,0,light pink
1537,Sexify,SHOW,2021,TV-MA,44,"['drama', 'comedy']",Poland,1,tt14315542,6.5,4907,0,light pink
1538,JAPAN SINKS: People of Hope,SHOW,2021,TV-14,54,"['scifi', 'war', 'drama']",Japan,1,tt15569106,6.7,404,0,light pink
1539,Invisible City,SHOW,2021,TV-MA,36,"['drama', 'fantasy', 'thriller', 'crime']",Brazil,2,tt8878862,7.7,18,0,light pink
1540,The Time It Takes,SHOW,2021,TV-MA,13,"['drama', 'romance', 'comedy']",Spain,1,tt13322938,7.1,1183,0,light pink
1541,Too Hot to Handle: Brazil,SHOW,2021,TV-MA,56,"['reality', 'romance']",Brazil,1,tt14902484,5.4,443,0,light pink
1542,That Girl Lay Lay,SHOW,2021,TV-G,23,['comedy'],United States of America (the),2,tt14442054,3.4,232,0,light pink
1543,Alessandro Cattelan: One Simple Question,SHOW,2022,TV-MA,30,"['comedy', 'reality']",Italy,1,tt15326678,6.5,157,0,light pink
1544,Worn Stories,SHOW,2021,TV-MA,30,['documentation'],United States of America (the),1,tt14177168,6.6,311,0,light pink
1545,Everything Will Be Fine,SHOW,2021,TV-MA,32,"['comedy', 'drama']",Mexico,1,tt15101964,6.2,335,0,light pink
1546,Fishbowl Wives,SHOW,2022,TV-MA,43,"['drama', 'romance']",Japan,1,tt15410190,6.1,704,0,light pink
1547,Soil,SHOW,2021,TV-MA,48,"['comedy', 'drama']",Belgium,1,tt14319674,7.2,478,0,light pink
