,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,clusters,cluster
400,Netflix Presents: The Characters,SHOW,2016,TV-MA,31,['comedy'],United States of America (the),1,tt5228026,5.3,835,0,light pink
401,Project Mc²,SHOW,2015,TV-G,24,['family'],United States of America (the),6,tt4861760,6.1,985,0,light pink
402,El Chema,SHOW,2016,TV-MA,44,"['drama', 'action', 'crime']",United States of America (the),1,tt5730624,6.9,303,0,light pink
403,Tokyo Trial,SHOW,2016,TV-MA,49,"['drama', 'history']",Japan,1,tt6422918,7.4,1544,0,light pink
404,Love O2O,SHOW,2016,TV-14,45,"['drama', 'romance']",China,1,tt6092878,8,2322,0,light pink
405,Good Morning Call,SHOW,2016,TV-14,48,"['comedy', 'drama', 'romance']",Japan,2,tt5520732,7.7,3088,0,light pink
406,Inside the World's Toughest Prisons,SHOW,2016,TV-MA,48,"['crime', 'documentation']",United Kingdom of Great Britain and Northern Ireland (the),5,tt8594220,7.1,2747,0,light pink
407,Beat Bugs,SHOW,2016,TV-Y,15,"['animation', 'family', 'fantasy', 'comedy']",Australia,3,tt4716268,7.6,522,0,light pink
408,Another Miss Oh,SHOW,2016,TV-MA,69,"['drama', 'fantasy', 'romance', 'comedy']",Korea (the Republic of),1,tt5679572,7.9,1769,0,light pink
409,T@gged,SHOW,2016,TV-14,22,"['drama', 'thriller', 'reality']",United States of America (the),3,tt5881326,7.3,2012,0,light pink
410,The Deep,SHOW,2015,TV-Y7,22,"['action', 'animation', 'family', 'scifi']",Australia,3,tt4991910,8.1,645,0,light pink
411,La Niña,SHOW,2016,TV-MA,45,"['action', 'drama']",Colombia,1,tt5677942,8.3,642,0,light pink
412,Ask the Storybots,SHOW,2016,TV-Y,26,"['animation', 'comedy', 'family']",United States of America (the),3,tt5846856,8.4,870,0,light pink
413,La esclava blanca,SHOW,2016,TV-MA,41,['history'],Colombia,1,tt5458128,8.1,575,0,light pink
414,World of Winx,SHOW,2016,TV-Y7,23,"['action', 'animation', 'comedy', 'family', 'fantasy', 'european']",United States of America (the),2,tt5874596,6.6,715,0,light pink
415,Richie Rich,SHOW,2015,TV-PG,22,['comedy'],United States of America (the),2,tt4162898,3.1,1041,0,light pink
416,LEGO Friends: The Power of Friendship,SHOW,2016,TV-Y,23,['animation'],United States of America (the),2,tt6464612,6.5,49,0,light pink
417,The Good Cop,SHOW,2015,TV-MA,30,"['comedy', 'drama']",Israel,3,tt6070434,7.7,370,0,light pink
418,One More Time,SHOW,2016,TV-14,31,"['scifi', 'drama', 'fantasy']",Korea (the Republic of),1,tt6212990,6.9,564,0,light pink
419,My Runway,SHOW,2016,TV-14,25,"['comedy', 'drama', 'fantasy', 'romance']",Korea (the Republic of),1,tt6968336,6.3,261,0,light pink
420,Dear My Friends,SHOW,2016,TV-MA,70,"['drama', 'comedy']",Korea (the Republic of),1,tt5689030,8.2,355,0,light pink
421,Toon,SHOW,2016,TV-MA,27,['comedy'],Netherlands (the),2,tt5698140,7.6,890,0,light pink
422,The Paper,SHOW,2016,TV-MA,48,"['drama', 'crime', 'action']",Croatia,3,tt0341957,7.4,64,0,light pink
423,H20: Mermaid Adventures,SHOW,2015,TV-Y,24,"['comedy', 'drama', 'family', 'fantasy', 'romance', 'animation', 'european']",France,2,tt4610750,5.7,182,0,light pink
424,Stories by Rabindranath Tagore,SHOW,2015,TV-PG,43,['drama'],India,1,tt4853764,8.8,1295,0,light pink
425,The Haunted House,SHOW,2016,TV-PG,25,"['thriller', 'fantasy', 'horror', 'animation', 'comedy', 'drama', 'family']",Korea (the Republic of),7,tt9518312,8.4,71,0,light pink
426,Cheer Squad,SHOW,2016,TV-PG,42,['reality'],Canada,1,tt5993744,7.2,166,0,light pink
427,72 Dangerous Places to Live,SHOW,2016,TV-PG,49,['documentation'],Australia,1,tt5674272,6.2,344,0,light pink
428,Nightmare Teacher,SHOW,2016,TV-MA,16,"['drama', 'horror', 'thriller']",Korea (the Republic of),1,tt6209442,7.1,423,0,light pink
429,Три кота,SHOW,2015,TV-Y,5,"['scifi', 'comedy', 'family', 'animation']",Russian Federation (the),3,tt7038964,6.8,95,0,light pink
430,Old Money,SHOW,2015,TV-MA,47,"['comedy', 'drama', 'european']",Austria,1,tt3701442,7.3,493,0,light pink
431,Rainbow Ruby,SHOW,2016,TV-Y,11,"['animation', 'comedy', 'family', 'fantasy']",China,4,tt5828144,6.5,77,0,light pink
432,Atelier,SHOW,2015,TV-14,69,"['drama', 'documentation', 'comedy']",Japan,1,tt2303188,6.3,7,0,light pink
433,The Truth Seekers,SHOW,2016,TV-MA,44,"['drama', 'action']",Singapore,1,tt7131694,7.1,16,0,light pink
434,Chelsea,SHOW,2016,TV-MA,57,['comedy'],United States of America (the),2,tt5672036,6.1,2051,0,light pink
435,Home: Adventures with Tip & Oh,SHOW,2016,TV-Y7,21,"['comedy', 'family', 'fantasy', 'scifi', 'animation']",United States of America (the),4,tt5759196,5.9,603,0,light pink
436,White Rabbit Project,SHOW,2016,TV-PG,48,['reality'],United States of America (the),1,tt6048644,6.9,1665,0,light pink
437,Witch Hunt: A Century of Murder,SHOW,2015,TV-14,46,"['crime', 'history', 'fantasy', 'drama', 'european']",United Kingdom of Great Britain and Northern Ireland (the),1,tt6474054,7.2,319,0,light pink
438,The Princess Weiyoung,SHOW,2016,TV-14,45,"['drama', 'history', 'romance']",China,1,tt6353308,7.9,767,0,light pink
439,Mind Game,SHOW,2015,TV-14,44,"['drama', 'action', 'crime']",Japan,1,tt8879588,7.5,12,0,light pink
440,Chelsea Does,SHOW,2016,TV-MA,60,['documentation'],United States of America (the),1,tt5275894,7.3,2471,0,light pink
441,Real Rob,SHOW,2015,TV-14,31,['comedy'],United States of America (the),2,tt3741346,6.4,2801,0,light pink
442,StoryBots Super Songs,SHOW,2016,TV-Y,21,"['animation', 'family']",United States of America (the),1,tt6163070,8.8,167,0,light pink
443,Miss in Kiss,SHOW,2016,TV-14,36,"['comedy', 'drama']",Taiwan (Province of China),1,tt6954524,7.7,98,0,light pink
444,Coach Snoop,SHOW,2016,TV-MA,29,['documentation'],United States of America (the),2,tt5697642,6.8,583,0,light pink
445,Word Party,SHOW,2016,TV-Y,20,"['animation', 'family']",United States of America (the),5,tt5235950,5.7,349,0,light pink
446,Trailer Park Boys: Out of the Park: Europe,SHOW,2016,TV-MA,30,"['action', 'crime', 'drama', 'comedy']",Canada,2,tt5937754,7,2285,0,light pink
447,My Sunshine,SHOW,2015,TV-PG,45,"['drama', 'romance']",China,1,tt6131630,6.6,185,0,light pink
448,A Touch of Green,SHOW,2015,TV-MA,46,"['family', 'drama', 'war']",Taiwan (Province of China),1,tt5231950,8.4,314,0,light pink
449,28 Faces of the Moon,SHOW,2016,TV-14,18,['drama'],Korea (the Republic of),1,tt10145322,6.4,25,0,light pink
450,The Creative Indians,SHOW,2016,TV-MA,28,['documentation'],United States of America (the),4,tt9583184,8.3,45,0,light pink
451,Bottersnikes & Gumbles,SHOW,2016,TV-Y7,13,"['action', 'animation', 'comedy', 'family']",Australia,4,tt6015820,5.1,47,0,light pink
452,Fangbone!,SHOW,2016,TV-PG,22,"['animation', 'comedy', 'family', 'fantasy', 'action']",Canada,1,tt4358188,6.2,312,0,light pink
453,Chasing Cameron,SHOW,2016,TV-PG,28,['reality'],United States of America (the),1,tt6370626,3.8,501,0,light pink
454,Spark,SHOW,2016,TV-14,13,['drama'],Korea (the Republic of),5,tt6409112,7,57,0,light pink
455,Under the Black Moonlight,SHOW,2016,TV-14,10,"['drama', 'thriller', 'horror']",Korea (the Republic of),1,tt7162436,5,56,0,light pink
456,Close Your Eyes Before It's Dark,SHOW,2016,TV-14,84,"['drama', 'crime']",Taiwan (Province of China),1,tt6506806,7,218,0,light pink
457,Best Lover,SHOW,2016,TV-14,45,"['drama', 'romance']",China,1,tt9874364,6.8,74,0,light pink
458,Luna Petunia,SHOW,2016,TV-Y,24,"['animation', 'family', 'fantasy']",Canada,3,tt4588068,6.2,58,0,light pink
459,The Miracle,SHOW,2016,TV-14,18,"['drama', 'comedy', 'fantasy', 'music']",Korea (the Republic of),1,tt6703344,6.3,210,0,light pink
460,The Dream Job,SHOW,2016,TV-14,44,"['drama', 'family']",Singapore,1,tt7131688,6.1,14,0,light pink
461,Vanished 46,SHOW,2016,TV-MA,61,"['scifi', 'action', 'crime', 'drama', 'thriller']",Turkey,1,tt5606154,8.4,4269,0,light pink
462,Magic Cellphone,SHOW,2016,TV-PG,13,"['drama', 'comedy']",Korea (the Republic of),1,tt7162434,4.1,21,0,light pink
463,Diamond Lover,SHOW,2015,TV-PG,45,"['comedy', 'drama']",China,1,tt6058496,6.4,138,0,light pink
464,Sons of the Caliphate,SHOW,2015,TV-14,39,['drama'],Nigeria,1,tt10202268,7.4,32,0,light pink
465,Fartsa,SHOW,2015,TV-14,60,"['crime', 'drama']",Russian Federation (the),1,tt4567218,6.7,195,0,light pink
466,Singles Villa,SHOW,2015,TV-14,45,"['drama', 'romance']",China,1,tt5053036,7.7,28,0,light pink
467,Tariqi: My Way,SHOW,2015,TV-14,42,"['drama', 'music']",Egypt,1,tt5528490,7.2,143,0,light pink
468,The Governor,SHOW,2016,TV-14,45,['drama'],Nigeria,1,tt7128052,7.4,100,0,light pink
469,Back to 1989,SHOW,2016,TV-14,44,"['scifi', 'drama']",Taiwan (Province of China),1,tt6273088,8,106,0,light pink
470,My Little Baby,SHOW,2016,TV-PG,37,"['comedy', 'drama']",Korea (the Republic of),1,tt5546516,6.9,103,0,light pink
471,Love Storm,SHOW,2016,TV-14,87,['family'],Taiwan (Province of China),1,tt6093070,5.5,325,0,light pink
472,Ozark,SHOW,2017,TV-MA,60,"['crime', 'thriller', 'drama']",United States of America (the),4,tt5071412,8.5,278223,2,purple
473,Derry Girls,SHOW,2018,TV-MA,25,['comedy'],United Kingdom of Great Britain and Northern Ireland (the),3,tt7120662,8.4,28718,0,light pink
474,The Sinner,SHOW,2017,TV-MA,45,"['crime', 'thriller', 'drama']",United States of America (the),4,tt6048596,7.9,117055,3,dark pruple
475,Dark,SHOW,2017,TV-MA,56,"['scifi', 'crime', 'drama', 'thriller']",Germany,3,tt5753856,8.7,354443,2,purple
476,Riverdale,SHOW,2017,TV-14,42,"['thriller', 'drama', 'romance', 'crime']",United States of America (the),6,tt5420376,6.7,139154,3,dark pruple
477,Legacies,SHOW,2018,TV-14,42,"['scifi', 'drama', 'fantasy', 'horror']",United States of America (the),4,tt8103070,7.3,28877,0,light pink
478,Mindhunter,SHOW,2017,TV-MA,53,"['crime', 'drama', 'thriller']",United States of America (the),2,tt5290382,8.6,261429,2,purple
479,All American,SHOW,2018,TV-14,42,"['drama', 'sport']",United States of America (the),4,tt7414406,7.6,9704,0,light pink
480,Manifest,SHOW,2018,TV-14,42,"['scifi', 'drama', 'thriller']",United States of America (the),3,tt8421350,7.1,50145,0,light pink
481,Elite,SHOW,2018,TV-MA,48,"['crime', 'drama', 'thriller']",Spain,5,tt7134908,7.4,73062,3,dark pruple
482,Cobra Kai,SHOW,2018,TV-14,31,"['action', 'comedy', 'drama', 'sport']",United States of America (the),5,tt7221388,8.6,163858,3,dark pruple
483,You,SHOW,2018,TV-MA,47,"['thriller', 'crime', 'drama', 'romance']",United States of America (the),3,tt7335184,7.7,225949,2,purple
484,Lost in Space,SHOW,2018,TV-PG,49,"['scifi', 'action', 'drama', 'thriller', 'family']",United States of America (the),3,tt5232792,7.3,96868,3,dark pruple
485,Money Heist,SHOW,2017,TV-MA,50,"['crime', 'drama', 'thriller', 'action', 'european']",Spain,5,tt6468322,8.3,450797,2,purple
486,Good Girls,SHOW,2018,TV-14,42,"['comedy', 'drama', 'crime']",United States of America (the),4,tt6474378,7.7,49867,0,light pink
487,Bodyguard,SHOW,2018,TV-MA,60,"['war', 'crime', 'drama', 'thriller', 'european']",United Kingdom of Great Britain and Northern Ireland (the),2,tt7493974,8.1,114446,3,dark pruple
488,Godless,SHOW,2017,TV-MA,65,"['western', 'documentation', 'action', 'drama', 'crime']",United States of America (the),1,tt5516154,7.6,27,0,light pink
489,Altered Carbon,SHOW,2018,TV-MA,52,"['scifi', 'thriller', 'action', 'drama']",United States of America (the),2,tt2261227,7.9,162018,3,dark pruple
490,Maniac,SHOW,2018,TV-MA,39,"['drama', 'scifi', 'comedy']",United States of America (the),1,tt5580146,7.7,74877,3,dark pruple
491,Dirty John,SHOW,2018,TV-MA,44,"['crime', 'drama']",United States of America (the),2,tt15438396,7.3,20817,0,light pink
492,Babylon Berlin,SHOW,2017,TV-MA,49,"['crime', 'thriller', 'drama', 'european']",Germany,4,tt4378376,8.4,23256,0,light pink
493,Charmed,SHOW,2018,TV-14,42,"['scifi', 'drama', 'fantasy']",United States of America (the),4,tt6394324,4.5,16091,0,light pink
494,The Haunting of Hill House,SHOW,2018,TV-MA,58,"['drama', 'scifi', 'horror', 'thriller']",United States of America (the),1,tt6763664,8.6,226817,2,purple
495,HAPPY!,SHOW,2017,TV-MA,43,"['scifi', 'comedy', 'thriller', 'action', 'crime', 'fantasy']",United States of America (the),2,tt2452242,8.1,37747,0,light pink
496,Workin' Moms,SHOW,2017,TV-MA,22,"['comedy', 'drama']",Canada,6,tt6143796,7.8,14892,0,light pink
497,Wild Wild Country,SHOW,2018,TV-MA,67,"['crime', 'documentation']",United States of America (the),1,tt7768848,8.1,29298,0,light pink
498,Somebody Feed Phil,SHOW,2018,TV-14,52,['documentation'],United States of America (the),5,tt7752034,8.2,4420,0,light pink
499,Big Mouth,SHOW,2017,TV-MA,27,"['animation', 'comedy', 'romance']",United States of America (the),6,tt6524350,7.9,74660,3,dark pruple
500,Dynasty,SHOW,2017,TV-14,42,['drama'],United States of America (the),5,tt6128300,7.2,21136,0,light pink
501,Imposters,SHOW,2017,TV-14,43,"['drama', 'comedy', 'crime']",United States of America (the),2,tt5212822,7.8,13238,0,light pink
502,Anne with an E,SHOW,2017,TV-G,46,"['drama', 'family']",Canada,3,tt5421602,8.7,51001,0,light pink
503,Manhunt,SHOW,2017,TV-14,43,"['documentation', 'crime', 'thriller', 'drama']",United States of America (the),2,tt5618256,8.1,57459,3,dark pruple
504,Santa Clarita Diet,SHOW,2017,TV-MA,29,"['comedy', 'horror']",United States of America (the),3,tt5580540,7.9,64467,3,dark pruple
505,The Bureau of Magical Things,SHOW,2018,TV-G,23,"['scifi', 'family', 'fantasy']",Australia,2,tt7153034,6.7,1914,0,light pink
506,One Day at a Time,SHOW,2017,TV-PG,29,"['comedy', 'drama']",United States of America (the),4,tt5339440,8.2,15669,0,light pink
507,The End of the F***ing World,SHOW,2017,TV-MA,21,"['crime', 'comedy', 'drama', 'romance', 'thriller']",United Kingdom of Great Britain and Northern Ireland (the),2,tt6257970,8.1,177868,3,dark pruple
508,Safe,SHOW,2018,TV-MA,45,"['drama', 'thriller', 'crime', 'european']",United Kingdom of Great Britain and Northern Ireland (the),1,tt7902072,7.2,41822,0,light pink
509,GLOW,SHOW,2017,TV-MA,34,"['drama', 'comedy', 'sport', 'reality']",United States of America (the),4,tt0784878,8,44751,0,light pink
510,Trolls: The Beat Goes On!,SHOW,2018,TV-G,21,"['comedy', 'romance', 'animation', 'family', 'fantasy']",United States of America (the),8,tt7539608,5.8,798,0,light pink
511,Collateral,SHOW,2018,TV-MA,57,"['drama', 'thriller', 'crime']",United Kingdom of Great Britain and Northern Ireland (the),1,tt6729080,6.7,17304,0,light pink
512,Castlevania,SHOW,2017,TV-MA,26,"['scifi', 'drama', 'fantasy', 'horror', 'animation', 'action']",United States of America (the),4,tt6517102,8.3,61114,3,dark pruple
513,The Kominsky Method,SHOW,2018,TV-MA,26,"['drama', 'comedy']",United States of America (the),3,tt7255502,8.2,38232,0,light pink
514,Knightfall,SHOW,2017,TV-14,44,"['action', 'drama', 'history']",United States of America (the),2,tt4555364,6.7,19809,0,light pink
515,Atypical,SHOW,2017,TV-14,31,"['comedy', 'drama']",United States of America (the),4,tt6315640,8.3,81643,3,dark pruple
516,Alias Grace,SHOW,2017,TV-MA,44,"['drama', 'thriller', 'crime']",Canada,1,tt1034007,7.7,31577,0,light pink
517,Deadwind,SHOW,2018,TV-MA,46,"['drama', 'thriller', 'crime']",Finland,3,tt6616260,7.3,8762,0,light pink
518,A Series of Unfortunate Events,SHOW,2017,TV-PG,47,"['action', 'family', 'comedy', 'drama']",United States of America (the),3,tt4834206,7.8,59239,3,dark pruple
519,American Vandal,SHOW,2017,TV-MA,33,"['comedy', 'drama', 'crime']",United States of America (the),2,tt6877772,8.1,29972,0,light pink
520,Watership Down,SHOW,2018,TV-PG,50,"['animation', 'action', 'drama', 'family', 'fantasy']",United Kingdom of Great Britain and Northern Ireland (the),1,tt5670764,7.2,6043,0,light pink
521,Mystery Science Theater 3000,SHOW,2017,TV-14,86,"['scifi', 'comedy', 'thriller', 'drama', 'horror']",United States of America (the),2,tt6782014,8.2,3605,0,light pink
522,Chilling Adventures of Sabrina,SHOW,2018,TV-14,57,"['scifi', 'thriller', 'drama', 'horror', 'fantasy']",United States of America (the),4,tt7569592,7.4,90327,3,dark pruple
523,Violet Evergarden,SHOW,2018,TV-14,25,"['drama', 'animation', 'scifi', 'fantasy', 'romance']",Japan,1,tt7078180,8.4,19940,0,light pink
524,Narcos: Mexico,SHOW,2018,TV-MA,56,"['drama', 'crime']",United States of America (the),3,tt8714904,8.4,80902,3,dark pruple
525,Disenchantment,SHOW,2018,TV-14,29,"['scifi', 'comedy', 'fantasy', 'animation', 'action']",United States of America (the),4,tt5363918,7.2,58639,3,dark pruple
526,BAKI,SHOW,2018,TV-MA,24,"['action', 'animation', 'drama', 'sport']",Japan,3,tt6357658,6.7,5706,0,light pink
527,Wet Hot American Summer: Ten Years Later,SHOW,2017,TV-MA,27,['comedy'],United States of America (the),1,tt5669272,6.9,8502,0,light pink
528,Seven Seconds,SHOW,2018,TV-MA,62,"['crime', 'drama']",United States of America (the),1,tt6297682,7.7,15323,0,light pink
529,Devilman Crybaby,SHOW,2018,TV-MA,25,"['scifi', 'animation', 'action', 'drama', 'fantasy', 'horror']",Japan,1,tt6660498,7.6,18575,0,light pink
530,Oats Studios,SHOW,2017,TV-MA,6,"['scifi', 'horror']",United States of America (the),1,tt16351432,6.4,870,0,light pink
531,Two Sentence Horror Stories,SHOW,2017,TV-14,22,"['drama', 'horror', 'thriller']",United States of America (the),4,tt6873926,5.5,1841,0,light pink
532,Black Spot,SHOW,2017,TV-MA,55,"['drama', 'thriller', 'crime', 'horror', 'european']",Belgium,2,tt6519410,7.4,10705,0,light pink
533,Rust Valley Restorers,SHOW,2018,TV-14,45,['documentation'],Canada,4,tt9498102,7.8,2732,0,light pink
534,Everything Sucks!,SHOW,2018,TV-14,24,"['drama', 'comedy']",United States of America (the),1,tt7078710,7.5,18023,0,light pink
535,Bad Blood,SHOW,2017,TV-14,46,"['drama', 'crime']",Canada,2,tt6423364,7.5,9593,0,light pink
536,Five Came Back,SHOW,2017,TV-MA,65,"['war', 'documentation', 'history']",United States of America (the),1,tt6587094,8.3,4600,0,light pink
537,Queer Eye,SHOW,2018,TV-14,47,['reality'],United States of America (the),6,tt7259746,8.5,18147,0,light pink
538,James Acaster: Repertoire,SHOW,2018,TV-14,52,['comedy'],United Kingdom of Great Britain and Northern Ireland (the),1,tt7818686,8.4,3545,0,light pink
539,The Keepers,SHOW,2017,TV-MA,56,"['crime', 'action', 'drama', 'documentation']",United States of America (the),1,tt6792200,7.6,14,0,light pink
540,13 Reasons Why,SHOW,2017,TV-MA,58,"['drama', 'thriller']",United States of America (the),4,tt1837492,7.5,282373,2,purple
541,Pine Gap,SHOW,2018,TV-MA,56,"['drama', 'thriller']",Australia,1,tt7371868,7.2,4772,0,light pink
542,Nightflyers,SHOW,2018,TV-MA,44,"['scifi', 'thriller', 'drama', 'horror']",United States of America (the),1,tt6903284,5.8,13103,0,light pink
543,Black Lightning,SHOW,2018,TV-14,42,"['scifi', 'action', 'drama']",United States of America (the),4,tt6045840,6.1,24646,0,light pink
544,Troy: Fall of a City,SHOW,2018,TV-MA,58,"['war', 'fantasy', 'romance', 'action']",United Kingdom of Great Britain and Northern Ireland (the),1,tt5103758,3.9,13677,0,light pink
545,The Dragon Prince,SHOW,2018,TV-Y7,27,"['scifi', 'animation', 'action', 'drama', 'family', 'fantasy', 'thriller']",United States of America (the),3,tt8688814,8.4,21635,0,light pink
546,Dear White People,SHOW,2017,TV-MA,29,"['comedy', 'drama']",United States of America (the),4,tt5707802,6.1,24863,0,light pink
547,VeggieTales in the City,SHOW,2017,TV-Y,23,"['comedy', 'family', 'music', 'animation']",United States of America (the),3,tt6562134,5.7,110,0,light pink
548,Requiem,SHOW,2018,TV-MA,58,"['drama', 'animation', 'fantasy', 'thriller']",United Kingdom of Great Britain and Northern Ireland (the),1,tt6712390,6.4,6421,0,light pink
549,Wormwood,SHOW,2017,TV-14,43,"['crime', 'drama', 'documentation', 'fantasy']",United States of America (the),1,tt1149367,7,4181,0,light pink
550,Perfume,SHOW,2018,TV-MA,29,"['crime', 'thriller', 'drama', 'documentation', 'comedy', 'romance']",Germany,1,tt10163260,7.1,8536,0,light pink
551,Evil Genius,SHOW,2018,TV-MA,48,"['crime', 'documentation']",United States of America (the),1,tt8342862,7.5,27516,0,light pink
552,Explained,SHOW,2018,TV-MA,21,['documentation'],United States of America (the),3,tt8005374,8,8831,0,light pink
553,Cells at Work!,SHOW,2018,TV-14,23,"['action', 'fantasy', 'animation', 'comedy']",Japan,2,tt8673610,7.5,2206,0,light pink
554,She-Ra and the Princesses of Power,SHOW,2018,TV-Y7,24,"['scifi', 'action', 'family', 'animation', 'fantasy', 'comedy', 'drama']",United States of America (the),5,tt7745956,7.8,14935,0,light pink
555,Stranger,SHOW,2017,TV-MA,64,"['drama', 'thriller', 'crime', 'romance', 'scifi', 'comedy']",Korea (the Republic of),2,tt5545948,8.5,7645,0,light pink
556,The Rain,SHOW,2018,TV-MA,43,"['drama', 'scifi', 'thriller']",Denmark,3,tt6656238,7.3,616,0,light pink
557,The Innocent Man,SHOW,2018,TV-MA,47,"['documentation', 'crime']",United States of America (the),1,tt0914376,7.3,5883,0,light pink
558,Rascal Does Not Dream of Bunny Girl Senpai,SHOW,2018,TV-14,25,"['animation', 'comedy', 'thriller', 'fantasy', 'romance', 'drama']",Japan,1,tt8993398,8.1,10400,0,light pink
559,Dirty Money,SHOW,2018,TV-14,63,"['crime', 'documentation']",United States of America (the),2,tt7889220,8.1,9099,0,light pink
560,Tidelands,SHOW,2018,TV-MA,42,"['scifi', 'fantasy', 'crime', 'drama']",Australia,1,tt6898970,6.8,7727,0,light pink
561,Hilda,SHOW,2018,TV-Y7,25,"['scifi', 'family', 'fantasy', 'animation', 'comedy', 'drama']",United Kingdom of Great Britain and Northern Ireland (the),2,tt6385540,8.5,10162,0,light pink
562,Friends from College,SHOW,2017,TV-MA,30,"['comedy', 'drama']",United States of America (the),2,tt5565334,6.9,20242,0,light pink
563,My Little Pony: Equestria Girls,SHOW,2017,TV-Y,24,"['animation', 'comedy', 'family', 'fantasy']",United States of America (the),1,tt13160278,6.4,642,0,light pink
564,Insatiable,SHOW,2018,TV-MA,46,"['drama', 'comedy', 'thriller']",United States of America (the),2,tt6487482,6.5,27275,0,light pink
565,Better Than Us,SHOW,2018,TV-MA,52,"['scifi', 'drama']",Russian Federation (the),2,tt8285216,7.3,8711,0,light pink
566,Cable Girls,SHOW,2017,TV-MA,50,"['drama', 'european']",Spain,5,tt5674718,7.6,13855,0,light pink
567,Sick Note,SHOW,2017,TV-MA,24,"['comedy', 'crime']",United Kingdom of Great Britain and Northern Ireland (the),2,tt5770788,6.8,7173,0,light pink
568,MEGALOBOX,SHOW,2018,TV-MA,24,"['action', 'animation', 'drama', 'scifi', 'sport']",Japan,2,tt7965802,7.8,3144,0,light pink
569,Transformers: Cyberverse,SHOW,2018,TV-Y7,11,"['action', 'animation', 'scifi']",United States of America (the),3,tt8891990,6.5,350,0,light pink
570,Jack Whitehall: Travels with My Father,SHOW,2017,TV-MA,46,"['reality', 'comedy', 'documentation', 'european']",United Kingdom of Great Britain and Northern Ireland (the),5,tt7453996,7.6,5388,0,light pink
571,Teasing Master Takagi-san,SHOW,2018,TV-PG,24,"['comedy', 'animation', 'romance']",Japan,3,tt7808344,7.7,2030,0,light pink
572,The Boss Baby: Back in Business,SHOW,2018,TV-G,23,"['action', 'comedy', 'animation', 'family', 'fantasy']",United States of America (the),4,tt7741824,6.4,3595,0,light pink
573,My Next Guest Needs No Introduction With David Letterman,SHOW,2018,TV-MA,55,[],United States of America (the),4,tt7829834,7.9,5194,0,light pink
574,Scissor Seven,SHOW,2018,TV-PG,15,"['action', 'animation', 'comedy', 'drama', 'fantasy', 'romance']",China,3,tt11503082,8.5,297,0,light pink
575,Damnation,SHOW,2017,TV-MA,43,"['western', 'drama', 'crime']",United States of America (the),1,tt6106704,7.6,8111,0,light pink
576,The Magic School Bus Rides Again,SHOW,2017,TV-Y,25,"['animation', 'family', 'fantasy']",United States of America (the),3,tt3869122,6.2,812,0,light pink
577,Cathedral of the Sea,SHOW,2018,TV-MA,57,"['drama', 'history']",Spain,1,tt4944694,7.4,4292,0,light pink
578,Haunted,SHOW,2018,TV-MA,25,"['documentation', 'horror', 'reality']",United States of America (the),3,tt9077192,4.6,3150,0,light pink
579,Great News,SHOW,2017,TV-PG,21,['comedy'],United States of America (the),2,tt4955480,7,6810,0,light pink
580,Dark Tourist,SHOW,2018,TV-MA,41,"['action', 'documentation']",New Zealand,1,tt8725166,7.5,7158,0,light pink
581,Abstract: The Art of Design,SHOW,2017,TV-14,45,['documentation'],United States of America (the),2,tt6333098,8.4,5306,0,light pink
582,Bakugan: Battle Planet,SHOW,2018,TV-Y7,20,"['scifi', 'animation', 'action', 'comedy', 'family', 'fantasy']",Japan,4,tt9527662,5.1,220,0,light pink
583,Kakegurui,SHOW,2017,TV-14,24,"['action', 'animation', 'drama', 'thriller']",Japan,2,tt7131720,7.2,8547,0,light pink
584,Numberblocks,SHOW,2017,TV-Y,5,['animation'],United Kingdom of Great Britain and Northern Ireland (the),5,tt7978538,8.6,198,0,light pink
585,Dogs,SHOW,2018,TV-PG,50,['documentation'],United States of America (the),2,tt0262158,8,1269,0,light pink
586,The Forest,SHOW,2017,TV-MA,52,"['crime', 'thriller', 'drama', 'european']",France,1,tt6560040,7.2,10137,0,light pink
587,Zoids Wild,SHOW,2018,TV-Y7,21,"['scifi', 'action', 'comedy', 'animation']",Japan,1,tt12317724,6,25,0,light pink
588,Mr. Sunshine,SHOW,2018,TV-MA,76,"['drama', 'action', 'history', 'romance', 'war']",Korea (the Republic of),1,tt7094780,8.7,6855,0,light pink
589,Hotel Transylvania: The Series,SHOW,2017,TV-Y7,16,"['comedy', 'family', 'fantasy', 'horror', 'animation']",United States of America (the),2,tt4858114,5.5,694,0,light pink
590,My Mister,SHOW,2018,TV-14,79,"['drama', 'family']",Korea (the Republic of),1,tt7923710,9.2,5481,0,light pink
591,Magic for Humans,SHOW,2018,TV-14,24,"['comedy', 'reality']",United States of America (the),3,tt8425308,7.1,3316,0,light pink
592,Bill Nye Saves the World,SHOW,2017,TV-14,30,['comedy'],United States of America (the),3,tt6026278,3.5,7233,0,light pink
593,1983,SHOW,2018,TV-MA,57,"['drama', 'crime', 'thriller']",Poland,1,tt7371666,6.8,4173,0,light pink
594,Innocent,SHOW,2017,TV-14,51,"['drama', 'crime']",Turkey,1,tt6478854,8.4,17727,0,light pink
595,Black Earth Rising,SHOW,2018,TV-MA,59,"['crime', 'thriller']",United Kingdom of Great Britain and Northern Ireland (the),1,tt7660730,7.4,4790,0,light pink
