,title,type,release_year,runtime,genres,production_countries,seasons,imdb_score,imdb_votes
158,The Net,MOVIE,1995,114,"['thriller', 'action', 'crime', 'drama']",['US'],,5.9,66127
159,The Devil's Own,MOVIE,1997,107,"['thriller', 'drama', 'action', 'crime', 'european']",['US'],,6.2,64625
160,Croupier,MOVIE,1998,94,"['thriller', 'european', 'crime', 'drama']","['FR', 'IE', 'GB', 'DE']",,7,21382
161,Teenage Mutant Ninja Turtles III,MOVIE,1993,96,"['fantasy', 'scifi', 'action', 'comedy', 'family']","['HK', 'US']",,4.7,33128
162,The General's Daughter,MOVIE,1999,116,"['drama', 'crime', 'thriller']","['US', 'DE']",,6.4,58726
163,The Next Karate Kid,MOVIE,1994,107,"['drama', 'family', 'romance', 'sport', 'action']",['US'],,4.5,30138
164,I Still Know What You Did Last Summer,MOVIE,1998,100,"['thriller', 'horror']",['US'],,4.7,73269
165,Double Team,MOVIE,1997,93,"['scifi', 'action', 'comedy', 'thriller']","['US', 'HK']",,4.7,34127
166,Under Suspicion,MOVIE,2000,110,"['thriller', 'crime', 'drama', 'european']",['US'],,6.5,25432
167,Moesha,SHOW,1996,21,"['drama', 'comedy', 'family']",['US'],6,5.7,3713
168,"Sister, Sister",SHOW,1994,22,"['comedy', 'drama', 'family']",['US'],6,6.2,12535
169,Cardcaptor Sakura,SHOW,1998,25,"['scifi', 'comedy', 'drama', 'family', 'fantasy', 'romance', 'animation', 'action']",['JP'],4,8,4936
170,Geronimo: An American Legend,MOVIE,1993,115,"['western', 'drama', 'history']",['US'],,6.5,11506
171,The Mirror Has Two Faces,MOVIE,1996,126,"['romance', 'comedy', 'drama']",['US'],,6.6,19829
172,Girlfriends,SHOW,2000,21,"['comedy', 'drama']",['US'],8,7.2,4482
173,Bill Hicks: One Night Stand,MOVIE,1991,30,['comedy'],['US'],,,
174,Knight Rider 2000,MOVIE,1991,91,"['action', 'scifi']",['US'],,4.5,3178
175,The Last Days,MOVIE,1998,87,"['drama', 'documentation', 'war']",['US'],,7.9,4247
176,The Parkers,SHOW,1999,19,['comedy'],['US'],5,6.8,2346
177,Heavy,MOVIE,1995,105,"['romance', 'drama']",['US'],,6.8,4921
178,Bill Hicks: Revelations,MOVIE,1993,74,"['comedy', 'documentation']",['GB'],,8.5,3085
179,Sankofa,MOVIE,1993,124,"['drama', 'european']","['GH', 'GB', 'US', 'BF', 'DE']",,7,678
180,Bill Hicks: Relentless,MOVIE,1992,61,['comedy'],['GB'],,,
181,Dale's Supermarket Sweep,SHOW,1993,21,[],['GB'],8,7.1,39
182,Jerry Seinfeld: I'm Telling You for the Last Time,MOVIE,1998,75,"['comedy', 'documentation']",['US'],,7.9,5834
183,Children of God,MOVIE,1994,63,['documentation'],['GB'],,6.4,589
184,Wild Tango,MOVIE,1993,124,"['drama', 'music', 'romance']","['AR', 'ES']",,6.7,1564
185,Kuch Kuch Hota Hai,MOVIE,1998,185,"['drama', 'romance', 'comedy']",['IN'],,7.6,51640
186,Oggy and the Cockroaches,SHOW,1999,9,"['comedy', 'family', 'action', 'animation', 'european']",['FR'],7,7.4,4185
187,H,SHOW,1998,25,['comedy'],['FR'],4,7.4,1703
188,Herod's Law,MOVIE,1999,120,"['drama', 'comedy', 'crime']",['MX'],,7.8,5943
189,Tim Allen: Rewires America,MOVIE,1991,30,"['comedy', 'documentation']",['US'],,5.9,195
190,Heartbreak High,SHOW,1994,47,"['drama', 'romance', 'comedy']",['AU'],7,7.8,3106
191,Dil Se..,MOVIE,1998,163,"['drama', 'romance']",['IN'],,7.5,28409
192,Escalona,SHOW,1991,44,['drama'],['CO'],1,,
193,Aashik Aawara,MOVIE,1993,153,"['romance', 'comedy', 'drama']",['IN'],,4.7,320
194,Destiny,MOVIE,1997,136,"['drama', 'romance', 'comedy', 'history']","['EG', 'FR']",,7.1,2825
195,Oh Darling! Yeh Hai India!,MOVIE,1995,153,['comedy'],['IN'],,4,1678
196,A Triumph of the Heart: The Ricky Bell Story,MOVIE,1991,100,"['drama', 'sport']",['US'],,7.2,248
197,Bombay,MOVIE,1995,141,"['romance', 'drama']",['IN'],,8.1,12512
198,West Beirut,MOVIE,1998,105,"['romance', 'war', 'comedy', 'drama', 'european']","['BE', 'FR', 'NO', 'LB']",,7.6,4175
199,Muthu,MOVIE,1995,165,"['drama', 'comedy', 'romance', 'action']",['IN'],,7.6,3056
200,Qila,MOVIE,1998,160,"['drama', 'music', 'family']",['IN'],,4.8,129
201,Ram Jaane,MOVIE,1995,172,"['action', 'drama', 'romance', 'crime']",['IN'],,5.4,3901
202,Chamatkar,MOVIE,1992,171,"['comedy', 'fantasy', 'drama', 'crime']",['IN'],,6.5,6199
203,Soldier,MOVIE,1998,156,"['thriller', 'action', 'drama', 'romance']",['IN'],,6.2,3025
204,Okupas,SHOW,2000,40,"['crime', 'drama']",['AR'],1,9,2326
205,Hum Saath Saath Hain,MOVIE,1999,177,"['fantasy', 'romance', 'family', 'drama']",['IN'],,6.2,8454
206,Kabhi Haan Kabhi Naa,MOVIE,1994,158,"['comedy', 'drama', 'music', 'romance']",['IN'],,7.6,18224
207,Nightmare in Columbia County,MOVIE,1991,100,"['drama', 'crime', 'thriller']",['US'],,5.5,341
208,Phir Bhi Dil Hai Hindustani,MOVIE,2000,160,"['comedy', 'romance', 'drama']",['IN'],,6.1,7556
209,Sam Kinison: Family Entertainment Hour,MOVIE,1991,49,['comedy'],['US'],,,
210,Jeans,MOVIE,1998,175,"['drama', 'romance', 'comedy']",['IN'],,6.4,3567
211,Chaahat,MOVIE,1996,155,"['drama', 'romance']",['IN'],,5.5,2837
212,Hum Aapke Hain Koun..!,MOVIE,1994,206,"['romance', 'comedy', 'drama']",['IN'],,7.5,20986
213,Maya Memsaab,MOVIE,1993,126,"['romance', 'drama', 'thriller']",['IN'],,5.4,2177
214,Out of Life,MOVIE,1991,97,"['war', 'drama', 'crime', 'european']","['IT', 'LB', 'BE', 'FR']",,6.9,365
215,Duplicate,MOVIE,1998,165,"['comedy', 'action', 'crime', 'thriller']",['IN'],,5.5,7557
216,Govindha Govindha,MOVIE,1993,145,"['drama', 'action', 'crime']",['IN'],,6.6,351
217,Damini,MOVIE,1993,180,"['drama', 'crime']",['IN'],,7.8,3490
218,English Babu Desi Mem,MOVIE,1996,172,"['romance', 'comedy', 'drama']",['IN'],,4.5,2322
219,Before the Flying Circus,MOVIE,2000,55,"['comedy', 'documentation']",['GB'],,7.3,161
220,Sam Kinison: Live in Vegas,MOVIE,1991,72,"['comedy', 'music', 'documentation']",['US'],,6.6,272
221,Anjaam,MOVIE,1994,146,"['thriller', 'romance', 'drama']",['IN'],,6.6,6465
222,Mann,MOVIE,1999,174,"['drama', 'romance']",['IN'],,6.1,5413
223,Monty Python: Live at Aspen,MOVIE,1998,58,"['comedy', 'documentation']","['US', 'GB']",,7.8,1092
224,Sinbad: Afros and Bellbottoms,MOVIE,1993,59,"['comedy', 'documentation']",['US'],,7.8,166
225,The Other,MOVIE,1999,106,"['drama', 'european', 'romance']","['EG', 'FR']",,5.9,987
226,Sinbad: Son of a Preacher Man,MOVIE,1996,56,"['comedy', 'documentation']",['US'],,6.7,115
227,Children of Shatila,MOVIE,1999,50,"['documentation', 'history']",['LB'],,8.2,74
228,Gumrah,MOVIE,1993,149,"['action', 'crime', 'drama', 'thriller']",['IN'],,6.1,784
229,The Emigrant,MOVIE,1994,129,['drama'],"['EG', 'FR']",,6.5,998
230,Yodha,MOVIE,1991,142,"['drama', 'action']",['IN'],,4.5,198
231,Avvai Shanmugi,MOVIE,1996,160,"['drama', 'comedy']",['IN'],,7.9,2528
232,Minsara Kanavu,MOVIE,1997,145,"['comedy', 'drama', 'romance']",['IN'],,6.7,1212
233,Chronicle of a Disappearance,MOVIE,1996,88,['drama'],"['US', 'FR', 'DE', 'PS']",,6.9,718
