,title,type,release_year,age_certification,genres,production_countries,imdb_id,imdb_score,imdb_votes
4878,Lupin,SHOW,2021,TV-MA,"['crime', 'drama', 'comedy', 'action']",['FR'],tt2531336,7.5,100575.0
4884,Brand New Cherry Flavor,SHOW,2021,TV-MA,"['thriller', 'drama', 'horror', 'scifi']",['US'],tt11343600,7.1,14449.0
4886,Human Resources,SHOW,2022,TV-MA,"['comedy', 'romance', 'animation']",['US'],tt11092142,7.2,4761.0
4887,All of Us Are Dead,SHOW,2022,TV-MA,"['action', 'scifi', 'thriller', 'drama', 'fantasy', 'horror']",['KR'],tt14169960,7.5,41393.0
4888,Heirs to the Land,SHOW,2022,TV-MA,"['comedy', 'scifi', 'drama', 'history']",['ES'],tt13308276,7.0,599.0
4892,Behind Her Eyes,SHOW,2021,TV-MA,"['drama', 'thriller']",['GB'],tt9698442,7.2,57514.0
4894,Is It Cake?,SHOW,2022,TV-PG,['reality'],['US'],tt18314214,5.7,465.0
4896,The Andy Warhol Diaries,SHOW,2022,TV-MA,['documentation'],['US'],tt18082212,7.7,1496.0
4899,The Cuphead Show!,SHOW,2022,TV-Y7,"['family', 'fantasy', 'animation', 'action', 'comedy']",['US'],tt10611608,7.5,5792.0
4902,Cowboy Bebop,SHOW,2021,TV-MA,"['scifi', 'comedy', 'crime', 'drama', 'fantasy', 'action']",['US'],tt1267295,6.6,35427.0
4904,The 7 Lives of Lea,SHOW,2022,TV-MA,"['drama', 'thriller', 'crime', 'fantasy']",['FR'],tt14140886,7.5,1196.0
4909,The Silent Sea,SHOW,2021,TV-MA,"['horror', 'drama', 'scifi', 'thriller']",['KR'],tt11570202,6.9,18548.0
4910,Sweet Tooth,SHOW,2021,TV-14,"['scifi', 'drama', 'fantasy', 'action']",['US'],tt12809988,7.8,49182.0
4912,Clickbait,SHOW,2021,TV-MA,"['thriller', 'crime', 'drama']","['AU', 'US']",tt10888878,7.2,50140.0
4913,Worst Roommate Ever,SHOW,2022,TV-MA,"['crime', 'documentation', 'drama', 'thriller']",['US'],tt8323702,8.1,8.0
4914,Hellbound,SHOW,2021,TV-MA,"['scifi', 'horror', 'thriller', 'crime', 'drama', 'fantasy']",['KR'],tt12235718,6.6,22107.0
4915,In from the Cold,SHOW,2022,TV-MA,"['drama', 'scifi', 'thriller', 'action', 'crime']",['US'],tt11859542,6.2,6663.0
4917,Komi Can't Communicate,SHOW,2021,TV-14,"['drama', 'comedy', 'animation', 'romance']",['JP'],tt14626352,7.8,4358.0
4918,Tomorrow,SHOW,2022,TV-14,"['drama', 'action', 'comedy', 'fantasy']",['KR'],tt18926162,7.7,603.0
4921,Ginny & Georgia,SHOW,2021,TV-14,"['drama', 'comedy']",['US'],tt10813940,7.4,44573.0
4925,Inside Job,SHOW,2021,TV-MA,"['comedy', 'fantasy', 'scifi', 'animation']",['US'],tt10231312,7.6,15137.0
4926,Dirty Lines,SHOW,2022,TV-MA,"['drama', 'history']",['NL'],tt14859224,7.3,717.0
4927,Trivia Quest,SHOW,2022,TV-G,"['family', 'fantasy', 'animation']",['US'],tt18393972,5.6,176.0
4932,The Chair,SHOW,2021,TV-MA,"['drama', 'comedy']",['US'],tt11834150,7.2,15894.0
4934,Sex/Life,SHOW,2021,TV-MA,"['drama', 'romance', 'comedy']",[],tt10839422,5.4,19604.0
4935,The Chestnut Man,SHOW,2021,TV-MA,"['crime', 'drama', 'thriller']",['DK'],tt10834220,7.7,41253.0
4938,My Liberation Notes,SHOW,2022,TV-14,"['drama', 'romance']",['KR'],tt15146130,8.4,276.0
4939,jeen-yuhs,SHOW,2022,TV-MA,"['documentation', 'music']",['US'],tt14599438,8.1,7269.0
4940,True Story,SHOW,2021,TV-MA,"['drama', 'thriller', 'comedy', 'crime']",['US'],tt13655456,7.5,16927.0
4942,Halston,SHOW,2021,TV-MA,['drama'],['US'],tt10920514,7.5,14040.0
4943,Anxious People,SHOW,2021,TV-MA,"['crime', 'drama', 'comedy']",['SE'],tt11168604,6.8,3709.0
4945,Young Royals,SHOW,2021,TV-MA,"['drama', 'romance']",['SE'],tt14664414,8.3,26732.0
4949,Resident Evil: Infinite Darkness,SHOW,2021,TV-MA,"['action', 'scifi', 'horror', 'animation']",['US'],tt13173456,5.8,9500.0
4950,Our Blues,SHOW,2022,TV-MA,['drama'],['KR'],tt19115260,7.7,209.0
4951,The Serpent,SHOW,2021,TV-MA,"['drama', 'thriller', 'crime']",['GB'],tt7985576,7.6,41782.0
4953,Hit & Run,SHOW,2021,TV-MA,"['action', 'drama', 'thriller', 'crime']",['IL'],tt9073940,7.1,8367.0
4958,Murder Among the Mormons,SHOW,2021,TV-14,"['crime', 'history', 'documentation']",['US'],tt13987620,7.0,6028.0
4961,Katla,SHOW,2021,TV-MA,"['scifi', 'thriller', 'drama']",['IS'],tt11102190,7.0,13095.0
